identifier,accessLevel,contactPoint,programCode,description,title,distribution,license,bureauCode,modified,publisher,keyword
USDA-ERS-00091,public,"{""hasEmail"": ""mailto:shaley@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Stephen Haley""}","[""005:041""]","ERS analysts track U.S. and international sugar and sweetener production, consumption, and trade. They also monitor and analyze U.S. sweetener policy and events that affect the domestic, Mexican, and other international sweetener markets.",Sugar and Sweeteners Yearbook Tables,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/sugar-and-sweeteners-yearbook-tables.aspx"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Web page with links to Excel files""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""agricultural economics"", ""consumption"", ""production"", ""trade""]"
USDA-ERS-26121,public,"{""hasEmail"": ""mailto:jkirlin@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""John A. Kirlin""}","[""005:041""]","The Supplemental Nutrition Assistance Program (SNAP) Data System provides time-series data on State and county-level estimates of SNAP participation and benefit levels, combined with area estimates of total population and the number of persons in poverty.",Supplemental Nutrition Assistance Program (SNAP) Data System,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""https://www.ers.usda.gov/data-products/supplemental-nutrition-assistance-program-snap-data-system/go-to-the-map/"", ""mediaType"": ""text/html"", ""title"": ""Interactive map""}, {""accessURL"": ""http://gis.ers.usda.gov/arcgis/rest/services/"", ""@type"": ""dcat:Distribution"", ""format"": ""API"", ""description"": ""See http://www.ers.usda.gov/developer/geospatial-apis.aspx for more information."", ""title"": ""GIS API Services""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""https://www.ers.usda.gov/data-products/supplemental-nutrition-assistance-program-snap-data-system/time-series-data/"", ""description"": ""Excel file"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Data file""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2015-01-29,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""SNAP"", ""benefits"", ""geospatial"", ""gis"", ""population""]"
USDA-ERS-26071,public,"{""hasEmail"": ""mailto:tcapehart@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Thomas Capehart""}","[""005:041""]","The U.S. Bioenergy Statistics are a source of information on biofuels intended to present a picture of the renewable energy industry and its relationship to agriculture.  Where appropriate, data are presented in both a calendar year and the relevant marketing year timeframe to increase utility to feedstock-oriented users.  The statistics highlight the factors that influence the demand for agricultural feedstocks for biofuels production; for instance, numerous tables emphasize the relationship between energy and commodity markets.",U.S. Bioenergy Statistics,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""https://www.ers.usda.gov/data-products/us-bioenergy-statistics/us-bioenergy-statistics/#Supply%20and%20Disappearance"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Web page with links to Excel files""}]",https://creativecommons.org/licenses/by/4.0,"[""005:13""]",2014-12-23,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""bio-energy"", ""bio-fuel"", ""bioenergy"", ""biofuel"", ""biofuels"", ""statistics""]"
USDA-ERS-00093,public,"{""hasEmail"": ""mailto:ajerardo@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Alberto Jerardo""}","[""005:041""]","U.S. consumers demand variety, quality, and convenience in the foods they consume. As Americans have become wealthier and more ethnically diverse, the American food basket reflects a growing share of tropical products, spices, and imported gourmet products. Seasonal and climatic factors drive U.S. imports of popular types of fruits and vegetables and tropical products, such as cocoa and coffee. In addition, a growing share of U.S. imports can be attributed to intra-industry trade, whereby agricultural-processing industries based in the United States carry out certain processing steps offshore and import products at different levels of processing from their subsidiaries in foreign markets.
 
This data set provides import values of edible products (food and beverages) entering U.S. ports and their origin of shipment. Data are from the U.S. Department of Commerce, U.S. Census Bureau. Food and beverage import values are compiled by calendar year into food groups corresponding to major commodities or level of processing. At least 10 years of annual data are included, enabling users to track long-term growth patterns.",U.S. Food Imports,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/us-food-imports.aspx"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Web page with links to Excel files""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""agricultural economics"", ""food"", ""imports""]"
USDA-ERS-00098,public,"{""hasEmail"": ""mailto:dhulph@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""David Nulph""}","[""005:041""]","All of the ERS mapping applications, such as the Food Environment Atlas and the Food Access Research Atlas, use map services developed and hosted by ERS as the source for their map content. These map services are open and freely available for use outside of the ERS map applications. Developers can include ERS maps in applications through the use of the map service REST API, and desktop GIS users can use the maps by connecting to the map server directly.",USDA ERS GIS Map Services and API User Guide,"[{""accessURL"": ""https://www.ers.usda.gov/developer/geospatial-apis/"", ""@type"": ""dcat:Distribution"", ""title"": ""API access page""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2017-01-07,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""APIs"", ""REST"", ""XML""]"
USDA-ERS-00092,public,"{""hasEmail"": ""mailto:tparker@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Timothy Parker""}","[""005:041""]","The 2013 Urban Influence Codes form a classification scheme that distinguishes metropolitan counties by population size of their metro area, and nonmetropolitan counties by size of the largest city or town and proximity to metro and micropolitan areas. The standard Office of Management and Budget (OMB) metro and nonmetro categories have been subdivided into two metro and 10 nonmetro categories, resulting in a 12-part county classification. This scheme was originally developed in 1993. This scheme allows researchers to break county data into finer residential groups, beyond metro and nonmetro, particularly for the analysis of trends in nonmetro areas that are related to population density and metro influence. 
 
An update of the Urban Influence Codes is planned for mid-2023.",Urban Influence Codes,"[{""accessURL"": ""http://www.ers.usda.gov/data-products/urban-influence-codes.aspx"", ""@type"": ""dcat:Distribution"", ""description"": ""Excel files: 2013 Urban Influence Codes\r\n2003 and 1993 Urban influence Codes for U.S. counties\r\n2003 Urban influence Codes for Puerto Rico"", ""title"": ""Webpage with links to Excel files""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""metro"", ""nonmetro"", ""rural"", ""rural sociology"", ""urban""]"
USDA-ERS-26151,public,"{""hasEmail"": ""mailto:sthornsbury@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Suzanne Thornsbury""}","[""005:041""]","This data product provides users with comprehensive statistics on fresh and processed vegetables and pulses in the United States, as well as global production and trade data for these sectors. It harmonizes and integrates data from the ERS market outlook program with data collected by different Federal and international statistical agencies to facilitate analyses of economic performance over time, and across domestic and foreign markets.",Vegetables and Pulses Data,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/vegetables-and-pulses-data/by-category.aspx"", ""mediaType"": ""text/html"", ""title"": ""Query tool""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/vegetables-and-pulses-data/yearbook-tables.aspx"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Web page with links to Excel files""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""beans"", ""prices"", ""production"", ""pulses"", ""trade"", ""vegetables""]"
USDA-ERS-00094,public,"{""hasEmail"": ""mailto:schaible@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Glenn Schaible""}","[""005:041""]","This data product summarizes the farm-structural characteristics for irrigated farms in the 17 Western States based on USDA's 2008 and 1998 Farm and Ranch Irrigation Surveys (FRIS) (see the Documentation for data sources and methods). The tables are grouped into 16 sections, ranging from total irrigation values (for all irrigated farms), to higher efficiency irrigation, to irrigated farms receiving financial/technical assistance designed to encourage onfarm water and energy conservation. All tables identify specific irrigation characteristics for four farm size classes, by State. For more details, see the Summary of Results.",Western Irrigated Agriculture,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/western-irrigated-agriculture.aspx"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Web page with links to Excel files""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""agricultural economics"", ""irrigation""]"
USDA-ERS-00096,public,"{""hasEmail"": ""mailto:jkbond@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Jennifer Bond""}","[""005:041""]","This data product contains statistics on wheat-including the five classes of wheat: hard red winter, hard red spring, soft red winter, white, and durum-and rye. Includes data published in the monthly Wheat Outlook and previously annual Wheat Yearbook. Data are monthly, quarterly, and/or annual depending upon the data series. Most data are on a marketing year basis, but some are calendar year.",Wheat Data,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/wheat-data.aspx"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Web page with links to Excel files""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""agricultural economics"", ""consumption"", ""prices"", ""production"", ""stocks"", ""trade"", ""wheat""]"
USDA-ERS-00099,public,"{""hasEmail"": ""mailto:webadmin@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Website Administrator""}","[""005:041""]","The ERS content and data APIs (including our pre-made widgets for embedding charts) are currently out of service while we redesign our site. Check back here for updates--we'll keep you informed as to the progress. 

Contact us at webadmin@ers.usda.gov with questions.

Enjoy Charts of Note? Paste one of the JavaScript code options into the HTML of your blog or web page to embed a specific Chart of Note or the most recent Chart of Note.",Widgets,[],https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2015-01-29,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""agricultural economics"", ""charts"", ""widget""]"
USDA-ERS-00048,non-public,"{""hasEmail"": ""mailto:pheisey@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Paul Heisey""}","[""005:041""]",National inflation rates and exchange rates,World Bank: DataBank,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://databank.worldbank.org/data/home.aspx"", ""mediaType"": ""text/html"", ""title"": ""Vendor Website""}]",,"[""005:13""]",2014-02-28,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service: Resource and Rural Economics Division""}","[""ERS"", ""Economic Research Service"", ""Global Macroeconomic Data"", ""USDA""]"
USDA-ERS-00007,non-public,"{""hasEmail"": ""mailto:cherylc@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Cheryl Christensen""}","[""005:041""]","The World Bank regularly has conducted Living Standards Measurement Surveys (LSMS) for 39 developing and transition countries.   The surveys collect household level data on a wide range of poverty-related information, including household demographics, consumption, living conditions, income and assets.  Specialized surveys including integrated surveys on agriculture (LSMS-ISA) that provide additional information on household’s agricultural operations.",World Bank: Household Survey Statistics,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://econ.worldbank.org/WBSITE/EXTERNAL/EXTDEC/EXTRESEARCH/EXTLSMS/0,,contentMDK:21588800~menuPK:4196952~pagePK:64168445~piPK:64168309~theSitePK:3358997,00.html"", ""mediaType"": ""text/html"", ""title"": ""Vendor Website""}]",,"[""005:13""]",2014-02-25,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service:  Market and Trade Economics Division""}","[""Global Food Security""]"
USDA-ERS-00006,non-public,"{""hasEmail"": ""mailto:cherylc@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Cheryl Christensen""}","[""005:041""]","The primary World Bank collection of development indicators, compiled from officially-recognized international sources. It presents the most current and accurate global development data available, and includes national, regional and global estimates.  Topics covered include:  Agriculture & Rural Development, Aid Effectiveness, Climate Change, Economic Policy & External Debt, Education, Energy & Mining, Environment, Financial Sector, Gender, Health, Infrastructure, Labor & Social Protection, Poverty, Private Sector, Public Sector, Science & Technology, Social Development, Urban Development",World Bank: World Development Indicators,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://data.worldbank.org/data-catalog/world-development-indicators"", ""mediaType"": ""text/html"", ""title"": ""Vendor Website""}]",,"[""005:13""]",2014-02-25,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service:  Market and Trade Economics Division""}","[""Agriculture and Rural Development"", ""Aid Effectiveness"", ""Climate Change"", ""ERS"", ""Economic Policy and External Debt"", ""Economic Research Service"", ""Education"", ""Energy and Mining"", ""Environment"", ""Financial Sector"", ""Gender"", ""Health"", ""Infrastructure"", ""Labor and Social Protection"", ""Poverty"", ""Private Sector"", ""Public Sector"", ""Science and Technology"", ""Social Development"", ""USDA"", ""Urban Development""]"
USDA-ERS-00023,non-public,"{""hasEmail"": ""mailto:jwainio@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""John Wainio""}","[""005:041""]",Data and information on PTAs (including GSP and other schemes like the U.S.’s AGOA and CBERA).,World Trade Organization: Preferential Trade Agreements,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://ptadb.wto.org/?lang=1"", ""mediaType"": ""text/html"", ""title"": ""Vendor Website""}]",,"[""005:13""]",2014-02-25,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service:  Market and Trade Economics Division""}","[""ERS"", ""Economic Research Service"", ""Tariff"", ""Trade Policy"", ""USDA""]"
USDA-ERS-00022,non-public,"{""hasEmail"": ""mailto:jwainio@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""John Wainio""}","[""005:041""]","Tariff data and information on RTAs, including pdf files of agreement chapters and annexes.",World Trade Organization: Regional Trade Agreements,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://rtais.wto.org/UI/PublicMaintainRTAHome.aspx"", ""mediaType"": ""text/html"", ""title"": ""Vendor Website""}]",,"[""005:13""]",2014-02-28,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service:  Market and Trade Economics Division""}","[""ERS"", ""Economic Research Service"", ""Tariffs"", ""Trade Policy"", ""USDA""]"
USDA-ERS-00024,non-public,"{""hasEmail"": ""mailto:jwainio@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""John Wainio""}","[""005:041""]","Tariff schedules of WTO members including applied customs duties at the tariff line level, import statistics by country of origin and WTO Members' commitments on goods (bound tariffs and specific commitments in agriculture).",World Trade Organization: Tariff Analysis Online,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""https://tao.wto.org/welcome.aspx?ReturnUrl=%2fQueryEdit.aspx"", ""mediaType"": ""text/html"", ""title"": ""Vendor Website""}]",,"[""005:13""]",2014-02-28,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service:  Market and Trade Economics Division""}","[""ERS"", ""Economic Research Service"", ""Tariffs"", ""Trade Policy"", ""USDA""]"
USDA-NASS-00002,public,"{""hasEmail"": ""mailto:nass@nass.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""ASB Secretary""}","[""005:043""]","This file contains data on race, ethnicity, and gender of U.S. farm and ranch operators collected by the 2007 Census of Agriculture.","2007 Census of Agriculture Race, Ethnicity and Gender Profile Data","[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""https://www.agcensus.usda.gov/Publications/2007/Online_Highlights/Race,_Ethnicity_and_Gender_Profiles/REG_profile_data.zip"", ""format"": ""CSV"", ""mediaType"": ""application/zip"", ""title"": ""2007 Census of Agriculture Race, Ethnicity, and Gender Data""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:15""]",2009-02-04,"{""@type"": ""org:Organization"", ""name"": ""National Agricultural Statistics Service, Department of Agriculture""}","[""Agriculture"", ""Census of Agriculture"", ""NASS"", ""USDA"", ""census"", ""data""]"
USDA-NASS-00006,public,"{""hasEmail"": ""mailto:nass@nass.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Spatial Analysis Research Section""}","[""005:042""]","The Census of Agriculture provides a detailed picture every five years of U.S. farms and ranches and the people who operate them. Conducted by USDA’s National Agricultural Statistics Service, the 2012 Census of Agriculture collected more than six million data items directly from farmers. The Ag Census Web Maps application makes this information available at the county level through a few clicks. The maps and accompanying data help users visualize, download, and analyze Census of Agriculture data in a geospatial context.",2012 Census of Agriculture - Web Maps,"[{""accessURL"": ""https://www.agcensus.usda.gov/Publications/2012/Online_Resources/Ag_Census_Web_Maps/index.php"", ""@type"": ""dcat:Distribution"", ""title"": ""Interactive map""}, {""accessURL"": ""https://www.ers.usda.gov/developer/geospatial-apis/nass-map-service-documentation.aspx"", ""@type"": ""dcat:Distribution"", ""format"": ""API"", ""describedBy"": ""https://www.ers.usda.gov/developer/geospatial-apis.aspx"", ""title"": ""GIS API Services"", ""describedByType"": ""application/html""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""https://www.agcensus.usda.gov/Publications/2012/Online_Resources/Ag_Census_Web_Maps/Data_download/Ag_Census_Map_data_07172015.xlsx"", ""format"": ""xls"", ""mediaType"": ""application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"", ""title"": ""Data file""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:15""]",2015-02-02,"{""@type"": ""org:Organization"", ""name"": ""National Agricultural Statistics Service, Department of Agriculture""}","[""Agriculture"", ""NASS"", ""US"", ""USDA"", ""United States"", ""cropland"", ""crops and plants"", ""data"", ""economics"", ""environment"", ""farms"", ""livestock and animals"", ""operators"", ""wms""]"
USDA-NASS-00004,public,"{""hasEmail"": ""mailto:nass@nass.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Spatial Analysis Research Section""}","[""005:042""]","The geospatial data product called the Cropland Data Layer (CDL) is hosted on CropScape (https://nassgeodata.gmu.edu/CropScape/). The CDL is a raster, geo-referenced, crop-specific land cover data layer created annually for the continental United States using moderate resolution satellite imagery and extensive agricultural ground truth.",CropScape - Cropland Data Layer,"[{""accessURL"": ""https://nassgeodata.gmu.edu/CropScape/"", ""@type"": ""dcat:Distribution"", ""format"": ""html"", ""title"": ""CropScape""}, {""accessURL"": ""https://nassgeodata.gmu.edu/CropScapeService/wms_cdlall.cgi"", ""@type"": ""dcat:Distribution"", ""format"": ""API"", ""description"": ""XML API.  Help information is here: https://nassgeodata.gmu.edu/CropScape/devhelp/help.html""}, {""accessURL"": ""http://crop.csiss.gmu.edu/arcgis/services/CropScape/MapServer/WMSServer"", ""@type"": ""dcat:Distribution"", ""format"": ""API"", ""description"": ""ArcGIS API""}]",http://creativecommons.org/publicdomain/zero/1.0/,"[""005:15""]",2017-02-06,"{""@type"": ""org:Organization"", ""name"": ""National Agricultural Statistics Service, Department of Agriculture""}","[""Agriculture"", ""Land Use Land Cover Theme"", ""NASS"", ""NGDA"", ""NGDA Portfolio Themes"", ""National Geospatial Data Asset"", ""US"", ""USDA"", ""United States"", ""classification"", ""crop cover"", ""cropland"", ""data"", ""environment"", ""geotiff"", ""land cover"", ""land use"", ""wms""]"
USDA-NASS-00001,public,"{""hasEmail"": ""mailto:nass@nass.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""ASB Secretary""}","[""005:042""]","Quick Stats is the National Agricultural Statistics Service's (NASS) online, self-service tool to access complete results from the 1997, 2002, 2007, and 2012 Censuses of Agriculture as well as the best source of NASS survey published estimates. The census collects data on all commodities produced on U.S. farms and ranches, as well as detailed information on expenses, income, and operator characteristics. The surveys that NASS conducts collect information on virtually every facet of U.S. agricultural production.",Quick Stats Agricultural Database,"[{""accessURL"": ""https://quickstats.nass.usda.gov"", ""@type"": ""dcat:Distribution"", ""format"": ""HTML"", ""title"": ""Quick Stats Agricultural Database Tool""}, {""accessURL"": ""https://quickstats.nass.usda.gov/api"", ""@type"": ""dcat:Distribution"", ""format"": ""API"", ""description"": ""Quick Stats API is the programmatic interface to the National Agricultural Statistics Service's (NASS) online database containing results from the 1997, 2002, 2007, and 2012 Censuses of Agriculture as well as the best source of NASS survey published estimates. The census collects data on all commodities produced on U.S. farms and ranches, as well as detailed information on expenses, income, and operator characteristics. The surveys that NASS conducts collect information on virtually every facet of U.S. agricultural production."", ""describedBy"": ""https://quickstats.nass.usda.gov/api#param_define"", ""title"": ""Quick Stats API"", ""describedByType"": ""text/html""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:15""]",2017-03-06,"{""@type"": ""org:Organization"", ""name"": ""National Agricultural Statistics Service, Department of Agriculture""}","[""African American operators"", ""Agriculture"", ""American Indian Reservation farms"", ""Asian operators"", ""Brussels sprouts"", ""CCC"", ""Chinese cabbage"", ""Christmas trees"", ""Commodity Credit Corporation loans"", ""Conservation Reserve Program CRP"", ""Data"", ""English walnuts"", ""Farmable Wetlands"", ""Feeder Pigs"", ""Hispanic operators"", ""Latino operators"", ""NASS"", ""North American Industrial Classification System NAICS"", ""Pacific Island operators"", ""Spanish operators"", ""Temples"", ""USDA"", ""Valencia oranges"", ""Wetlands Reserve"", ""abandoned"", ""acreage"", ""acres"", ""ag land"", ""ag services"", ""age"", ""agri-tourism"", ""agricultural production"", ""alfalfa"", ""alfalfa seed"", ""almonds"", ""alpacas"", ""angora goats"", ""apples"", ""apricots"", ""aquaculture"", ""aquatic plants"", ""artichokes"", ""asparagus"", ""avocados"", ""balers"", ""bales"", ""bananas"", ""barley"", ""bedding plants"", ""bee colonies"", ""beef cow"", ""bees"", ""beets"", ""bell peppers"", ""berries"", ""bison"", ""black operators"", ""blackberries"", ""blackeyed peas"", ""blueberries"", ""boysenberries"", ""broccoli"", ""broilers"", ""bulbs"", ""bull"", ""burros"", ""bushels"", ""cabbage"", ""calves"", ""cantaloupes"", ""carrots"", ""cash rents"", ""cattle"", ""cauliflower"", ""celery"", ""certified organic farms"", ""chemicals"", ""cherries"", ""chestnuts"", ""chickens"", ""chicory"", ""chile"", ""citrus"", ""coffee"", ""collards"", ""combines"", ""conservation practices"", ""contract labor"", ""corms"", ""corn"", ""cotton"", ""cotton pickers"", ""cowpeas"", ""cranberries"", ""crop insurance"", ""cropland"", ""cucumbers"", ""currants"", ""custom hauling"", ""customwork"", ""cut flowers"", ""cuttings"", ""cwt"", ""daikon"", ""dairy products"", ""dates"", ""deer"", ""dewberries"", ""donkeys"", ""dry edible beans"", ""dry edible peas"", ""ducks"", ""durum wheat"", ""eggplant"", ""eggs"", ""elk"", ""emus"", ""endive"", ""equipment"", ""escarole"", ""ewe"", ""experimental farms"", ""farm demographics"", ""farm economics"", ""farm income"", ""farm operations"", ""farms"", ""feed purchased"", ""fertilizer"", ""fescue seed"", ""field crops"", ""figs"", ""filberts"", ""flaxseed"", ""floriculture"", ""flower seeds"", ""flowering plants"", ""foliage plants"", ""forage"", ""fruits"", ""fuels"", ""garden plants"", ""garlic"", ""geese"", ""ginseng"", ""goats"", ""government payments"", ""grapefruit"", ""grapes"", ""grass seed"", ""grazing"", ""green onions"", ""greenchop"", ""greenhouse"", ""greenhouse tomatoes"", ""greenhouse vegetables"", ""guavas"", ""harvested"", ""harvesters"", ""hay"", ""hay balers"", ""haylage"", ""hazelnuts"", ""herbs"", ""herd"", ""hired farm labor"", ""hogs"", ""honey"", ""honeydew melon"", ""hops"", ""horseradish"", ""horses"", ""idle"", ""institutional farms"", ""interest expense"", ""inventory"", ""irrigation"", ""kale"", ""kiwifruit"", ""kumquats"", ""lambs"", ""land in farms"", ""land rents"", ""land value"", ""landlord"", ""layers"", ""lemons"", ""lentils"", ""lettuce"", ""lima beans"", ""limes"", ""liners"", ""llamas"", ""loganberries"", ""macadamia nuts"", ""machinery value"", ""mangoes"", ""manure"", ""maple syrup"", ""meat goats"", ""melons"", ""milk cow"", ""milk goat"", ""mink"", ""mint"", ""mohair"", ""mules"", ""mushrooms"", ""mustard"", ""native Hawaiian operators"", ""nectarines"", ""noncitrus"", ""nonirrigated"", ""number sold"", ""nursery"", ""nursery stock"", ""nuts"", ""oats"", ""okra"", ""olives"", ""onions"", ""operation"", ""operator characteristics"", ""oranges"", ""orchards"", ""organic"", ""ostriches"", ""other animals"", ""papayas"", ""parsley"", ""passion fruit"", ""pasture"", ""peaches"", ""peanuts"", ""pears"", ""peas"", ""pecans"", ""pelts"", ""peppers"", ""persimmons"", ""pheasants"", ""pickles"", ""pigeons"", ""pigs"", ""pima cotton"", ""pineapples"", ""pistachios"", ""planted"", ""plugs"", ""plums"", ""pluots"", ""pomegranates"", ""ponies"", ""popcorn"", ""potatoes"", ""poultry"", ""pounds"", ""price"", ""primary occupation"", ""production contracts"", ""production expenses"", ""property tax"", ""proso millet"", ""prunes"", ""pullets"", ""pumpkins"", ""quail"", ""rabbits"", ""radishes"", ""rangeland"", ""raspberries"", ""real estate"", ""research farms"", ""rhizomes"", ""rhubarb"", ""rice"", ""ryegrass seed"", ""safflower"", ""sales"", ""seedlings"", ""sheep"", ""short rotation"", ""silage"", ""snap beans"", ""sod"", ""sorghum"", ""soybeans"", ""spinach"", ""spring wheat"", ""squab"", ""squash"", ""storage capacity"", ""strawberries"", ""sugar"", ""sugarbeets"", ""sugarcane"", ""sunflower seed"", ""sweet cherries"", ""sweet corn"", ""sweet potatoes"", ""tame blueberries"", ""tame hay"", ""tangelos"", ""tangerines"", ""tart cherries"", ""tenant"", ""tenure"", ""tobacco"", ""tomatoes"", ""tons"", ""tractors"", ""trucks"", ""tubers"", ""turkeys"", ""turnip greens"", ""turnips"", ""upland cotton"", ""utilities"", ""value of production"", ""vegetable seeds"", ""vegetables"", ""vines"", ""walnuts"", ""watercress"", ""watermelons"", ""wheat"", ""white operators"", ""wild blueberries"", ""wild hay"", ""winter wheat"", ""women operators"", ""woodland"", ""woody crops"", ""wool""]"
